ParkJungSeok 100 100 100
LimYoHan 85 91 95
LeeYunYeol 80 90 85
MaJaeYoon 50 60 55
HongJinHo 45 32 55
KimTaekYong 95 83 91
LeeYoungHo 99 85 91
LeeJaeDong 95 85 51
ShinJiSoo 55 45 33
SongByungKoo 70 75 69
KimMinSu 70 80 90
ParkJiSung 85 90 95
SonHeungMin 92 88 94
RyuHyunJin 80 85 82
ChooShinSoo 75 78 80
KimYuna 98 99 100
LeeSangHwa 85 88 90
ParkTaeHwan 90 85 88
JangMiRan 82 85 80
KimYeonKoung 95 92 96
LeeSangHyeok 100 95 98
BongJoonHo 88 90 92
ParkChanWook 85 82 88
SongKangHo 80 85 82
ChoiMinSik 78 80 85
LeeByungHun 90 88 92
HaJungWoo 85 82 80
JunJiHyun 92 90 95
GongYoo 88 85 90
KimSooHyun 91 89 93
LeeJiEun 95 92 96
KwonJiYong 85 80 88
KimTaeYeon 90 92 88
BaeSuzy 88 85 90
KimJennie 85 88 92
KimNamJoon 95 90 92
KimSeokJin 88 85 82
MinYoonGi 92 88 90
JungHoSeok 90 92 88
ParkJiMin 91 89 93
JangSeGang 100 100 100
